SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE
NIDAN,Nidan Laboratories and Healthcare Limited,SM,12-Nov-21,10,INE0J6L01013,10
KOTYARK,Kotyark Industries Limited,SM,2-Nov-21,10,INE0J0B01017,10
DKEGL,D.K. Enterprises Global Limited,SM,22-Oct-21,10,INE0GN101014,10
DYNAMIC,Dynamic Services & Security Limited,SM,13-Oct-21,10,INE0DZ701010,10
DESTINY,Destiny Logistics & Infra Limited,SM,13-Oct-21,10,INE0IGO01011,10
BMETRICS,Bombay Metrics Supply Chain Limited,SM,12-Oct-21,10,INE0I3Y01014,10
JAINAM,Jainam Ferro Alloys (I) Limited,SM,8-Oct-21,10,INE02KC01010,10
QUADPRO,Quadpro Ites Limited,SM,30-Sep-21,2,INE0GOJ01027,2
BEWLTD,BEW Engineering Limited,SM,16-Sep-21,10,INE0HQI01014,10
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,SM,26-Aug-21,2,INE0HPK01020,2
NPST,Network People Services Technologies Limited,SM,10-Aug-21,10,INE0FFK01017,10
REXPIPES,Rex Pipes And Cables Industries Limited,SM,10-Aug-21,10,INE00D001018,10
WALPAR,Walpar Nutritions Limited,SM,13-Jul-21,10,INE0G2G01015,10
AILIMITED,Abhishek Integrations Limited,SM,21-Jun-21,10,INE0CAJ01017,10
VMARCIND,V Marc India Limited,SM,9-Apr-21,10,INE0GXK01018,10
SIDDHIKA,Siddhika Coatings Limited,SM,7-Apr-21,10,INE0A1E01018,10
PARTYCRUS,Party Cruisers Limited,SM,5-Mar-21,10,INE06ZX01015,10
LGHL,Laxmi Goldorna House Limited,SM,16-Apr-20,10,INE258Y01016,10
ASCOM,Ascom Leasing & Investments Limited,SM,6-Dec-19,10,INE08KD01015,10
SONAHISONA,Sona Hi Sona Jewellers (Gujarat) Limited,SM,15-Oct-19,10,INE06MH01016,10
SHIVAUM,Shiv Aum Steels Limited,SM,1-Oct-19,10,INE719F01016,10
SECL,Salasar Exteriors and Contour Limited,SM,12-Sep-19,1,INE00Y701026,1
ABINFRA,A B Infrabuild Limited,SM,12-Jul-19,10,INE00YB01017,10
KHFM,Khfm Hospitality And Facility Management Services Limited,SM,12-Apr-19,10,INE00UG01014,10
MINDPOOL,Mindpool Technologies Limited,SM,28-Feb-19,10,INE00RQ01019,10
SURANI,Surani Steel Tubes Limited,SM,6-Feb-19,10,INE01ZJ01015,10
DRSDILIP,DRS Dilip Roadlines Limited,SM,10-Dec-18,10,INE02CV01017,10
SHUBHLAXMI,Shubhlaxmi Jewel Art Limited,SM,4-Dec-18,10,INE01Z401013,10
UWCSL,Ultra Wiring Connectivity System Limited,SM,26-Oct-18,10,INE00F301010,10
PARIN,Parin Furniture Limited,SM,9-Oct-18,10,INE00U801010,10
SPECTRUM,Spectrum Electrical Industries Limited,SM,1-Oct-18,10,INE01EO01010,10
UCL,Ushanti Colour Chem Limited,SM,2-Aug-18,10,INE00NI01015,10
AMBANIORG,Ambani Organics Limited,SM,18-Jul-18,10,INE00C501018,10
JAKHARIA,JAKHARIA FABRIC LIMITED,SM,11-Jul-18,10,INE00N401018,10
BRIGHT,Bright Solar Limited,SM,9-Jul-18,10,INE684Z01010,10
MAHICKRA,Mahickra Chemicals Limited,SM,26-Apr-18,10,INE961Y01015,10
PENTAGOLD,Penta Gold Limited,SZ,25-Apr-18,10,INE175Y01012,10
VERA,Vera Synthetic Limited,SM,12-Apr-18,10,INE709Z01015,10
SSINFRA,S.S. Infrastructure Development Consultants Limited,ST,12-Apr-18,10,INE182Z01015,10
CONTI,Continental Seeds and Chemicals Limited,SM,4-Apr-18,10,INE340Z01019,10
GIRIRAJ,Giriraj Civil Developers Limited,SM,2-Apr-18,10,INE614Z01017,10
URAVI,Uravi T and Wedge Lamps Limited,SM,28-Mar-18,10,INE568Z01015,10
TARACHAND,Tara Chand InfraLogistic Solutions Limited,SM,23-Mar-18,10,INE555Z01012,10
MDL,Marvel Decor Limited,SM,23-Mar-18,10,INE575Z01010,10
MHHL,Mohini Health & Hygiene Limited,SM,16-Feb-18,10,INE450S01011,10
VASA,Vasa Retail and Overseas Ltd,SM,6-Feb-18,10,INE068Z01016,10
SOLEX,Solex Energy Limited,SM,5-Feb-18,10,INE880Y01017,10
SKSTEXTILE,SKS Textiles Limited,ST,19-Jan-18,10,INE507Y01016,10
SMVD,SMVD Poly Pack Limited,SM,26-Dec-17,10,INE702Y01013,10
INNOVANA,Innovana Thinklabs Limited,SM,12-Dec-17,10,INE403Y01018,10
FELIX,Felix Industries Limited,SM,5-Dec-17,10,INE901X01013,10
PULZ,Pulz Electronics Limited,SM,24-Nov-17,10,INE335X01014,10
AISL,ANI Integrated Services Limited,SM,20-Nov-17,10,INE635Y01015,10
MILTON,Milton Industries Limited,SM,16-Oct-17,10,INE376Y01016,10
OMFURN,Omfurn India Limited,SM,13-Oct-17,10,INE338Y01016,10
BETA,Beta Drugs Limited,SM,12-Oct-17,10,INE351Y01019,10
RELIABLE,Reliable Data Services Limited,SM,11-Oct-17,10,INE375Y01018,10
GOLDSTAR,Goldstar Power Limited,SM,10-Oct-17,1,INE405Y01021,1
INNOVATIVE,Innovative Tyres and Tubes Limited,ST,5-Oct-17,10,INE070Y01015,10
TIRUPATI,Shree Tirupati Balajee FIBC Limited,SM,5-Oct-17,10,INE238Y01018,10
RMDRIP,R M Drip and Sprinklers Systems Limited,SM,4-Oct-17,10,INE219Y01018,10
CADSYS,Cadsys (India) Limited,SM,4-Oct-17,10,INE090Y01013,10
MPTODAY,Madhya Pradesh Today Media Limited,SM,29-Sep-17,10,INE105Y01019,10
MANAV,Manav Infra Projects Limited,SM,18-Sep-17,10,INE104Y01012,10
PASHUPATI,Pashupati Cotspin Limited,SM,8-Sep-17,10,INE124Y01010,10
TRANSWIND,Transwind Infrastructures Limited,SM,12-Jul-17,10,INE792X01016,10
ACCORD,Accord Synergy Limited,SM,6-Jul-17,10,INE113X01015,10
SRIRAM,Shri Ram Switchgears Limited,ST,7-Jun-17,10,INE634W01012,10
VSCL,Vadivarhe Speciality Chemicals Limited,SM,2-Jun-17,10,INE551Q01028,10
JALAN,Jalan Transolutions (India) Limited,SM,31-May-17,10,INE349X01015,10
MKPL,M K Proteins Limited,SM,18-Apr-17,10,INE964W01013,10
ASLIND,ASL Industries Limited,SM,18-Apr-17,10,INE617I01024,10
PROLIFE,Prolife Industries Limited,SM,9-Jan-17,10,INE994V01012,10
GICL,Globe International Carriers Limited,SM,19-Oct-16,10,INE947T01014,10
DRL,Dhanuka Realty Limited,SM,18-Oct-16,10,INE704V01015,10
AURDIS,Aurangabad Distillery Limited,SM,17-Oct-16,10,INE448V01019,10
GRETEX,Gretex Industries Limited,SM,14-Oct-16,10,INE985P01012,10
JETKNIT,Jet Knitwears Limited,SM,7-Oct-16,10,INE564T01017,10
AVSL,AVSL Industries Limited,SM,6-Oct-16,10,INE522V01011,10
KKVAPOW,KKV Agro Powers Limited,SM,15-Jul-16,10,INE239T01016,10
PERFECT,Perfect Infraengineers Limited,SM,20-Nov-15,10,INE925S01012,10
AHIMSA,Ahimsa Industries Limited,SM,15-Oct-15,10,INE136T01014,10
SHAIVAL,Shaival Reality Limited,SM,1-Oct-15,10,INE262S01010,10
EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,13-Aug-15,10,INE332S01011,10
THEJO,Thejo Engineering Limited,SM,18-Sep-12,10,INE121N01019,10
